,fish_name,fish_scientific,fish_status,fish_appearence,fish_habitat,fish_behavior,fish_additional
10,Bluenose shiner,Pteronotropis welaka,Native,"The bluenose shiner is a smaller member of the Family Cyprinidae that can reach a body length of only 1.9 inches (4.8 centimeters).  This species is an olive-colored ray-finned fish that has dark-colored dorsal (back) fins, and yellow pelvic and anal fins that are banded in black.  Two distinct features of the bluenose shiner include a blue nose, a dark lateral stripe that runs from the snout to the tail, and males that have well developed (in size and color) dorsal, pelvic and anal fins.  The origin of the species common name comes from the blue nose that male adults have (Gilbert 1992, Florida Natural Areas Inventory 2001).","Bluenose shiners inhabit backwaters and river swamps to spring-run streams and are often associated with areas of aquatic vegetation and deep pools (Florida Natural Areas Inventory 2001, Gilbert 1992, Bass et. al. 2004).  In Florida, there are two disjunct distributions, the St. Johns River basin and the western panhandle with no known occurrences between the St. Johns and the Apalachicola rivers (Gilbert, 1992).  The first specimens were collected from the St. Johns River, near Welaka, in 1897 by William C. Kendall (Bass and Hoehn, 2010).","The diet of the bluenose shiner consists of insects and rotifers (microscopic aquatic species). (Osprey Data International, Inc. 2001).", 
11,Bowfin,Amia calva,Native,"The bowfin is the only living representative of an ancient family of fishes. It has an air-bladder that functions like a lung, and can be seen gulping air. They have a long, stout body; big mouth with small, sharp teeth; long dorsal and rounded tail fin. Males have a dark spot with a bright orange halo on the tail fin. The spot is absent or inconspicuous on females.","Prefers swamps, or backwaters of lowland streams. They live in warm, poorly oxygenated waters.",Males clear a nest among heavy vegetation. Eggs are laid at night and males guard them. Larvae use an adhesive organ to anchor themselves.,State Record:  19.0 lbs.
12,Brown Bullhead,Ameirus nebulosus,Native,"Chin barbels on browns are pigmented, not whitish as with yellow bullheads. The sides of brown bullheads have a distinct, irregular brownish mottling over a light background. The belly is creamy white. They have square tails.","Browns generally inhabit still or slowly-flowing warm waters in ponds, lakes, reservoirs, large rivers and sluggish streams.","They are primarily bottom feeders, feeding mostly at night. Highly sensitive barbels enable them to smell a wide variety of food such as insects, plant material, carrion, small fish, snails, crayfish, worms and leeches.",State Record:  7.02 lbs.
13,Brown Hoplo, ,Invasive,Brown hoplo is less than a foot long and belongs to family of fishes known as Callichthyidae; has bony armor consisting of two rows of large hard scales forming plate-like armor along each side; dark brown to black in color with two pairs of long barbells on chin.,"Occur in a variety of freshwater habitats including muddy bottom and slow moving rivers, streams, side channels, ponds, marshes, and man-made waterways such as ditches and borrow pits; larvae and juveniles inhabit shallow water areas with lots of vegetation; adults prefer foraging in deeper, open water areas; gulps air, and tolerant of both low oxygen and high hydrogen-sulfide levels.","Spawning Habitats: Males build floating nests in vegetation near shore that consist of bubbles covered with plant material. Eggs are released by the female below the nest. The male fertilizes them and then takes them into his mouth and blows them up into the floating nest. Breeding males develop enlarged, red pectoral spines with hooks at the tips that are used to defend territories against other males. The eggs hatch in about four days.",
14,Bullseye Snakehead, ,Invasive,"Air-breathing, torpedo-shaped fish with flattened head and toothed jaws; long anal and dorsal fins without spines; typically red eyes; body color darkens with age to deep brown with black blotches sometimes fringed with bright comma-shaped markings, and a red-orange eyespot (ocellus) near the base of the tail. It resembles a bowfin in behavior and appearance, but is distinguished by a long anal fin.","In canals, typically associated with overhanging shoreline vegetation, dense submersed vegetation, and debris; tolerant of stagnant waters due to air-breathing capabilities.","Spawning Habitats: Spawn primarily from March through May with a secondary peak in August; adults occasionally seen herding young in shallows until six inches long; a sample of ripe females contained an average of 4,700 ready to spawn eggs.",
15,Butterfly Peacock, ,Nonnative,"Body shape similar to that of a largemouth bass; color highly variable, but generally golden with three black vertical bars that tend to fade and are possibly absent in older fish; black spot with a yellow-gold halo on the caudal fin.","Successful in warm, slow flowing canals, ponds, lakes, deep rock pits, and lateral canals; frequently found in shady areas around bridges, culverts, canal intersections, bends, dead ends, and near fallen trees; spawns and often feeds in shallow water adjacent shorelines with overhanging vegetation; cannot tolerate water temperatures below 60oF or salinities greater than 18 ppt.","Spawning Habits: Typically spawn from April through September with a peak in May and June; both adults prepare a flat, hard surface near shore, then lay between 4,000 and 10,000 eggs; young are guarded by both parents, sometimes for several months; males commonly develop a 'nucchal' hump on foreheads when reproductively active.","State record: 9.08 pounds, but fish up to 12 pounds have been caught; current IGFA all-tackle world record is 12.6 pounds (caught in Venezuela); 13 of the 16 current IGFA world records caught from Florida waters."
16,Chain Pickerel,Esox niger,Native,"Chain pickerel are deep olive-green on the back, shading to a creamy yellow on the belly, with the back and anal fin about the same size and located far back on an elongated body. A distinct black chain-like or interwoven marking on the sides give them their name.","Found statewide, normally in vegetated lakes, swamps and backwaters of small to large rivers.","Spawning occurs in late winter to spring among heavy aquatic weed growth or flooded grasses, in water from a few inches deep to several feet deep. Large number of adhesive eggs are scattered over vegetation.",State Record:  6.96 lbs.
17,Channel Catfish,Ictalurus punctatus,Native,Catfish are easy to distinguish by their whisker-like sensory barbels and a forked tail. Channel catfish have a rounded anal fin and scattered black spots along their back and sides. Males become especially dark during spawning season and develop a thickened pad on their head.,"Channel catfish are found throughout Florida, and spawn in holes and crevices.","Primarily bottom feeders, channels also feed higher up. Major foods are aquatic insects, crayfish, mollusks, crustaceans and fish - not detritus or decaying material.",State Record:  44.50 lbs.
18,Clown Knifefish, ,Invasive,"Very distinct, flat, silvery fish with long anal fin that gives the knifefish its common name; tiny dorsal fin and 5-10 black spots ringed with white distinguish it from all other fish in Florida; juveniles possess dark vertical bands instead of spots; long anal fin equally allows for forward and backward movements.","Lakes, swamps, and river backwaters; young fish occur in schools among aquatic plants and submerged roots; adults tend to be loaners commonly found near shore in areas with overhanging vegetation or docks; utilizes air to survive in warm, stagnant waters with little oxygen.","Spawning Habitats: Reportedly spawning takes place in spring when females each lay thousands of eggs on the substrate or piece of wood; male cares for the eggs by fanning them with his tail, keeping them aerated and silt-free; later male reportedly protects hatched fry.",
19,Common Carp, ,Nonnative,"Large, heavy bodied minnow with arched back small triangular head tapering to blunt snout; first ray of the dorsal and anal fins stout, serrated spine; small, subterminal and protrusible mouth contains no teeth; two pair of barbels on the upper jaw; body color brassy green on top grading to bronze or gold on sides with yellowish white belly; typically covered with large, round scales; not the problem in Florida it is reported to be in other states.","Occurs throughout Apalachicola and Ochlockonee river systems in variety of habitats ranging from steep natural banks to gentle banks, dike fields, sand disposal areas, rocky outcrops, and backwater sloughs with or without submergent vegetation; not nearly as abundant in Florida as most other states, possibly due to our short and mild winters.","Spawning Habitats: Typically spawn when water temperatures range between 65 and 75oF; small groups gather in shallow, heavily vegetated areas that warm rapidly; one or more males pursue a female as eggs and milt are released, but no parental care given; eggs sink and adhere to vegetation and debris on the bottom; egg production from 50,000 to 2 million.","State record: 40.56 pounds caught in the Apalachicola River; IGFA world record was caught in France weighed 75 pounds, 11 ounces."
20,Crystal Darter,Crystallaria asprella,Native,"The crystal darter is one of the larger members of the Family Percidae (Gilbert 1992).  This species can reach a body length of six inches (15.2 centimeters).  Crystal darters are a light brown fish that have a side-to-side compressed head, large eyes, and four dark saddle marks (the first saddle originating in front of the pectoral fin) on their upper part (Florida Natural Areas Inventory 2001).","Crystal darters inhabit rivers with modest current, sandy riffles, and a sand/gravel bottom of medium to large size streams (Florida Natural Areas Inventory 2001).  They can be found within the Mississippi River basin from Wisconsin and Minnesota east to Ohio, west to Oklahoma, and south to Louisiana and Florida (Boschung and Mayden 2004, Page 1983).  In Florida, crystal darters occur in the Escambia River.",Crystal darters are invertivores – they feed on a variety of invertebrates., 
21,Flathead Catfish,Pylodictis olivaris,Nonnative,"A flat head, tiny eyes, square-ish tail and protruding lower jaw distinguish flathead from other. They are yellow-brown, usually mottled above, with a creamy colored belly.","Flathead are found in the Apalachicola and Escambia rivers, where they recently arrived from Georgia and Alabama. Flatheads prefer long, slow-flowing, moderately-turbid rivers.","Spawning occurs in late spring. One or both parents excavate the nest that is usually made in a natural cavity or near a large submerged object. Females lay a golden-yellow mass of up to 100,000 eggs. The nest is guarded and the eggs are agitated by the male to keep them clean and aerated. They feed on other fish, especially catfish and sunfish.",State Record: 69.9 pounds.
22,Florida Gar,Lepisosteus platyrhincus,Native,"Prehistoric fish with ganoid (bony) scales that have peg-and-socket joints forming a hard armor. Irregular round, spots occur on top of the head, all over the body and fins.","They are found in the Ochlockonee River and waters east and south in peninsular Florida where they inhabit streams, canals and lakes with mud or sand bottoms near underwater vegetation.","Use an airbladder to breathe air in low-oxygen water. Spawning occurs in late winter and early spring when both sexes congregate in shallow weedy waters where the females discharge adhesive eggs. Newly hatched young possess an adhesive organ on the end of their snout and stay attached to vegetation until 3/4-inch long. Adults primarily feed on fish, shrimp and crayfish.",State Record:  9.44 lbs.
23,Grass Carp, ,Nonnative,"The grass carp is actually one of the largest members of the minnow family. The back of the grass carp is silvery to dark grey, and the sides of the body are lighter with a slightly golden sheen. The belly is silvery white. Fins are generally greenish-grey. The fish has relatively large scales. The body shape is oblong with a round belly and broad head. Teeth have been replaced by specialized structures called pharyngeal teeth (see photo) located in the back of the throat. These are used for tearing and grinding plant matter.","Only occurs where stocked within Florida. In its native range it occurs in lakes, ponds, pools and backwaters of large rivers but prefers large, slow-flowing or standing water bodies with vegetation. They are tolerant of temperatures from freezing to over 100 ÂºF; salinities as high as 10 ppt (brackish), and oxygen levels down to 0.5 ppm.","Spawning Habitats: Broadcast spawners the females lay copious amounts of eggs in free-flowing rivers that are then fertilized by the male. The eggs must remain suspended in the flow until they hatch or they will perish. Ideally, at the time the eggs hatch they will be in a well vegetated area with abundant zooplankton.","Grass carp are a conditional species in Florida (68-5.002, Florida Administrative Code)."
24,Harlequin Darter, ,Native,"The harlequin darter is a smaller member of the darter Family Percidae that can reach a standard length of 2.5 inches (6.4 centimeters).  This species is greenish, with six or seven brown saddles, and seven to 11 dark green or brown spots.  Harlequin darters also have a green and black dorsal (back) side, a yellow belly with dark markings, and a clear first dorsal fin with a red boundary (Boschung and Mayden 2004, Florida Natural Areas Inventory 2001).","Harlequin darters inhabit snags and debris build ups in rivers and creeks (Florida Natural Areas Inventory 2001).  They can be found from Illinois, Indiana, and Kentucky, south to Florida, and west to Texas (Boschung and Mayden 2004, Etnier and Starnes 1993, Page 1983).   Harlequin darters only occur in the Escambia River watershed in Florida.","Little is known about the reproduction of the harlequin darter; however, spawning capable adults have been found in February and March.  Females reach sexual maturity at one year (Gilbert and Yerger 1992, Steinberg et al. 2000, Bass et al. 2004, Kuhajda and Warren 1989).  Females lead the search for nesting sites and will pick the site as the male follows her lead.  Snags (a partially or completely dead standing tree) are used as primary nesting habitats.  When released, eggs attach to detritus (decomposed organic matter) components in deep waters.", 
25,Jaguar Guapote, ,Nonnative,"Broken lateral line and black-and-white patterning make this species distinct; toothed and protrusible mouth; numerous purple to black spots or blotches on body and fins with series of black squares along their sides; males typically larger than females; only local species that might be confused with the jaguar guapote is the black crappie, but guapote's teeth and broken lateral line instantly set it apart.","Currently found in southeast Florida box-cut canals; tolerant of poor water quality. In native range occupy a variety of habitats including rivers and lakes with muddy, sandy, and rocky bottoms.","Spawning Habitats: Female lays about 4,000 adhesive eggs on hard, flat surface; both parents protective of eggs and young; most spawning occurs from March through July, with a secondary peak in October-November.",State Record: Not included in state records data base. IGFA all-tackle record caught in Florida weighed 3.5 pounds and was 21.5 inches long.
26,Key silverside,Menidia conchorum,Native,"The Key silverside is the smallest member of the Menidia genus (Gilbert 1992).  This species can reach a length of two inches (5.1 centimeters).  The Key silverside is silver-colored with distinct large eyes, 12-15 anal rays, 33-35 lateral line scales, and 12-14 pre-dorsal scales (Florida Natural Areas Inventory 2001)","The Key silverside inhabits protected, saline lagoons and ponds with restricted tidal exchange (Getter 1981, Conover 2000).  They are endemic to the lower and middle Florida Keys and have been documented in lagoons on Long, Grassy, Big Pine, No Name, Little Torch, Cudjoe, Sugarloaf, Saddle Bunch,  and Rockland Keys; Boca Chica, and Key West.",The diet of the Key silverside primarily consists of small crustaceans and insects (Getter 1981)., 
27,Lake Eustis pupfish, ,Native,"The Lake Eustis pupfish is a small fish that can reach up to three inches (7.6 centimeters) in total body length.  This species generally has a light brown body with dark vertical stripes around the body and a white dorsum (back), except for breeding males who have a blue back with a clear tail and back fin (Florida Natural Areas Inventory 2001).","The Lake Eustis pupfish inhabits freshwater lakes along clean, white sandy beaches subject to heavy wave action in areas largely devoid of vegetation in Lake, Marion, and Orange counties (Gilbert et al. 1992).",The diet of the Lake Eustis pupfish primarily consists of crustaceans and aquatic insect larvae (Johnson and Snelson 1978)., 
28,Largemouth Bass,Micropterus salmoides,Native,"The largemouth bass is the best known and most popular game fish in North America. It is distinguished from other black bass because the upper jaw extends beyond the rear edge of the eye, and the first and second dorsal (back) fins are separated by an obvious deep dip.","The Florida largemouth bass is the state freshwater fish. Found statewide in lakes and rivers, they are commonly found along vegetation, or underwater structure, but schooling bass are also found in the middle of lakes.","Black bass spawn in spring, when males fan out a bed and then protect the eggs and fry. The baby fish eat zooplankton (microscopic animals that drift in the water column), and when about an inch long begin eating other small fish. Adults eat a wide variety of fish, crustaceans and larger insects.","State Record:  17.27 lbs. (Note several larger fish have been documented but not certified.) Participate in TrophyCatch, FWC’s citizen-science program that rewards anglers for documenting and releasing trophy bass 8 lbs or larger!"
29,Mayan Cichlid, ,Nonnative,"Broken lateral line and turquoise ring on the tail are diagnostic; general coloration includes 6-8 bars that can be faint or dark; body color varies greatly in intensity sometimes with bright red on the chin, throat, and breast; has both spiny and soft dorsal fins and a rounded caudal fin.","Very adaptable and lives well in variety of habitats including canals, rivers, lakes and marshes; tolerates wide range of salinities.","Spawning Habitats: Nest building primarily occurs in April, followed by peak spawn in May and June; both parents guard young for up to six weeks; generally spawn once per year.",
30,Midas Cichlid, ,Nonnative,"Has multiple color phases (or morphs) ranging from dull gray and black to orange, red, and even white; all young start off gray, looking much like small bluegill or Mayan cichlid, but most change to brightly-colored morphs, starting when they are about three inches long; a mottled coloration indicates a fish in transition; in Florida, more than 95% of adults greater than 10 inches are brightly colored, but this ratio is nearly reversed in their native range; males and females equally likely to be brightly colored; pronounced forehead nuchal hump associated with breeding present in some fish; like most other cichlids this one has broken lateral lines.","Prefers clear-water, box-cut canals with lots of shoreline crevices that they use to hide from predators.",Spawning Habitats: Similar to other substrate spawning cichlids that provide biparental care; parents also produce a mucous body covering fed on by young; females mature by 7 inches and males by 8 inches; March through May appears to be the peak spawning season.,
31,Okaloosa darter,Etheostoma okaloosae,Native,"The Okaloosa darter is a small darter that reaches a body length of only two inches (5.1 centimeters).  This darter species has a green-yellow to red-brown coloration with five to eight brown spots along the lateral surface of its body, and a well established spot above the base of its pectoral fin.  Male Okaloosa darters develop an orange band along the edges of its first dorsal fin (Florida Natural Areas Inventory 2001).  As an obligate bottom dweller, they have no swim bladder, which enables a fish to control its buoyancy.","The Okaloosa darter inhabits small streams that are fed by ground water seepage from the surrounding sandhills (U.S. Fish & Wildlife Service 1998).  The majority of Okaloosa darter habitat is located within Eglin Air Force Base’s (Eglin AFB) boundaries, but they can also be found in adjoining portions of Okaloosa and Walton counties in Boggy and Rocky bayou of the Choctawhatchee Bay drainage (Burkhead and Williams 1992).","The diet of the Okaloosa darter primarily consists of mayfly nymphs, caddisfly larvae, and midge larvae (Ogilvie 1980).", 
32,Oscar, ,Nonnative,"Young fish have wavy white and orange markings on black background; body and fins of adults with olive blue-green and mustard colors, highlighting large dark blotches, and a bright red eyespot at base of upper caudal fin; stout more oval body shape than native bream; some have orange or red markings and all have a thick mucus coat on the body.","Most successful in canals running through marsh habitats, although found in lesser numbers in coastal canals, ponds, and lakes in from central Florida southward.","Spawning Habitats: Spawning normally takes place on flat, solid surfaces when water temperatures warm to 82-91oF; female typically lays about 3,000 eggs and both parents occasionally seen guarding hundreds of young in shallow water along shorelines.",State record: 2.34 pounds caught in Lake Okeechobee (see state records for updates).
33,Piranha, ,Nonnative,"Deep laterally compressed bodies are generally silvery or golden in color, with a short adipose fin, jaws with a single row of sharp tricuspid sheering teeth and no molars.  Other characids look somewhat similar but can be distinguished primarily by the dentition.  Pacus (Colossoma spp.), and silver dollars (Metynnis spp.) as well as Myleus spp. and Mylossoma spp. have molar-like teeth used for crushing food.  In telling Piranhas from Metynnis and other silver dollars, the angle of the jaw is a pretty good characteristic for sorting them...forward jutting lower jaw that forms a V at the angle is a piranha, even upper and lower jaw profile that forms a U at the angle of the jaw is not a piranha.",Rivers,Feeding Habits, 
34,Redbreast Sunfish,Lepomis auritus,Native,A very long black ear flap distinguishes this fish from other Florida bream.,"Also known as river bream and redbellies, these are the flowing water cousins of bluegill. Redbellies often can be found in backwater areas with less flow, especially where there are sandy bottoms. Common in rivers of north Florida, but absent from south Florida.","The redbreast's diet is probably the most varied of any of the sunfishes. Principal food organisms are bottom-dwelling insect larvae, snails, clams, shrimp, crayfish, and small fish. Compared to some sunfish, redbreasts grow slowly. Redbreast reach six inches in about two to three years.",State Record:  2.08 lbs.
35,Redear Sunfish,Lepomis microlophus,Native,A bright red mark on the back edge of the gill cover is very distinctive.,"Redear prefer hard bottoms, congregating in deeper water than bluegill.","They prefer snails and clams, giving them their common nickname. Shellcracker grow larger than bluegill, with fish over 1 pound common.",State Record:  4.86 lbs.
36,Sailfin Catfish, ,Nonnative,"All three suckermouth catfishes (family Loricariidae) in Florida have rows of bony plates covering all but their belly area. Sailfin catfish are distinguished by worm-like pattern of dark markings on the head over a dark-golden background; pectoral fins stout with rough surfaces resembling course sandpaper; disc-like, protrusible mouth is under the head, and used like a suction cup to attach and feed on algae; females tend to be smaller, and fish larger than 18 inches probably males; lifeless and hollowed-out 'armored' bodies sometimes seen on canal and lake banks","Sailfin catfish live in nearly any type of slow moving streams, canals, ponds, and lakes; and are normally most abundant along the shore and in shallower waters. They are known to create spawning burrows along shorelines, sometimes undermining canal banks and lake shorelines. Little is known about the vermiculated sailfin's specific habitat preferences; poor success of suckermouth catfish to date indicates it is less well adapted to Florida waters than are the sailfins.","Spawning Habitats: Male and females start maturing when 13 and 11 inches long; female lays about 2,000 eggs in shoreline burrows, holes, or crevices generally between April and September; nests guarded until eggs hatch; adhesive eggs clump together in masses; egg masses are sometimes collected from the wild, aerated, hatched, and grown on tropical fish farms for sale in the pet industry.",
37,Shoal Bass,Micropterus cataractae,Native,"Shoal bass are similar in body shape to largemouth bass, but unlike the largemouth, the shoal bass has scales on the base portion of the second dorsal fin; their first and second dorsal fins are clearly connected, and its upper jaw does not extend past the eye. Shoal bass also lack the dark lateral (down the side) band that largemouth have. Shoal bass have vertical stripes above the midline of the body which resemble tiger stripes.","Although historically found in the Apalachicola River, habitat degradation has all but eliminated shoal bass from the river proper.  Very limited numbers of shoal bass can be found just downstream from Jim Woodruff Dam, where a few ""shoal"" type habitats still remain.  The best destination to catch shoal bass in Florida is the Chipola River.","Shoal bass primarily eat crustaceans (crayfish) but will also eat a variety of fish and insects. Shoal bass are primarily found among river shoals (shallow, fast moving riffles and runs containing limestone) but larger shoal bass can often be found in the deeper pools containing limestone formations above and below the shoals.",State Record:  5.20 lbs.
38,Shortnose sturgeon,Acipenser brevirostrum,Native,"The shortnose sturgeon is one of seven species of sturgeons found in North America.  Sturgeons are prehistoric species that date back to the time of dinosaurs.  They are popular in the food industry as a source of caviar.  Their physical features separate them from other kinds of fish, such as a spiral valve stomach and a cartilaginous skeleton (like sharks and rays) but, they have scutes (hard, protective, large individual body plates) instead of denticles like sharks have or scales like other fish have.  Shortnose sturgeon have barbels located on the underside of the snout, no teeth, rubbery lips, and a suctorial mouth for vacuuming food off the bottom.  The sturgeon's coloring typically is dark brown along the upper (dorsal) side, shading to a creamy white-colored belly (Wakeford 2001).  The shortnose sturgeon is one of the smallest sturgeons with a body length of three to four feet (.9-1.2 meters) and a weight of up to eight pounds (3.6 kilograms).","Shortnose sturgeon are classified as anadromous, living in the estuarine reaches of most Atlantic seaboard rivers and ascending to flowing freshwater to spawn.  They tend to congregate in the main river channels and only use smaller tributaries to a lesser extent.  While shortnose sturgeons only occasionally frequent marine habitats, they can tolerate full seawater, and do migrate between rivers.  The shortnose sturgeon can be found from New Brunswick Canada, to the St. Johns River in Florida (National Marine Fisheries Service 1998).","Sturgeons are benthic feeders consuming organisms on, in, or near the bottom of a water body.  Preferred prey includes worms, crustaceans, insect larvae, and molluscs (National Marine Fisheries Service 1998).", 
